NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_TRYPTOPHAN_METABOLISM	40	37		
KEGG_BETA_ALANINE_METABOLISM	22	21		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_SELENOAMINO_ACID_METABOLISM	26	26		
KEGG_GLUTATHIONE_METABOLISM	50	47		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	51		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	42		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	21		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	25		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	53		
KEGG_PYRUVATE_METABOLISM	40	39		
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16	16		
KEGG_PROPANOATE_METABOLISM	33	32		
KEGG_BUTANOATE_METABOLISM	34	33		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	17		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_RETINOL_METABOLISM	64	62		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	39		
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15	15		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_NITROGEN_METABOLISM	23	21		
KEGG_SULFUR_METABOLISM	13		Rejected!	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	69		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	69		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	50		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	22		
KEGG_ABC_TRANSPORTERS	44	42		
KEGG_RIBOSOME	88	82		
KEGG_RNA_DEGRADATION	59	57		
KEGG_RNA_POLYMERASE	29	28		
KEGG_DNA_REPLICATION	36	34		
KEGG_SPLICEOSOME	127	123		
KEGG_PROTEASOME	46	44		
KEGG_PROTEIN_EXPORT	24	23		
KEGG_PPAR_SIGNALING_PATHWAY	69	67		
KEGG_BASE_EXCISION_REPAIR	35	32		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	41		
KEGG_MISMATCH_REPAIR	23	22		
KEGG_HOMOLOGOUS_RECOMBINATION	28	27		
KEGG_MAPK_SIGNALING_PATHWAY	267	256		
KEGG_ERBB_SIGNALING_PATHWAY	87	84		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	167		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	265	253		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	184		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	75		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	254		
KEGG_CELL_CYCLE	125	121		
KEGG_OOCYTE_MEIOSIS	113	107		
KEGG_P53_SIGNALING_PATHWAY	68	67		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	126		
KEGG_REGULATION_OF_AUTOPHAGY	35	34		
KEGG_ENDOCYTOSIS	181	178		
KEGG_PEROXISOME	78	76		
KEGG_MTOR_SIGNALING_PATHWAY	52	49		
KEGG_APOPTOSIS	87	81		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	112		
KEGG_WNT_SIGNALING_PATHWAY	151	146		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	24		
KEGG_NOTCH_SIGNALING_PATHWAY	47	47		
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	55		
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	85		
KEGG_AXON_GUIDANCE	129	124		
KEGG_VEGF_SIGNALING_PATHWAY	76	76		
KEGG_FOCAL_ADHESION	199	193		
KEGG_ECM_RECEPTOR_INTERACTION	84	83		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	124		
KEGG_ADHERENS_JUNCTION	73	72		
KEGG_TIGHT_JUNCTION	132	129		
KEGG_GAP_JUNCTION	90	87		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	67		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	80		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	98		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	59		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	67		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	54		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	147		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	82		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	129		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	105		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	73		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	78		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	94		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	110		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	45		
KEGG_LONG_TERM_POTENTIATION	70	66		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	120		
KEGG_LONG_TERM_DEPRESSION	70	68		
KEGG_OLFACTORY_TRANSDUCTION	389	355		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	201		
KEGG_INSULIN_SIGNALING_PATHWAY	137	131		
KEGG_GNRH_SIGNALING_PATHWAY	101	98		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	80		
KEGG_MELANOGENESIS	101	100		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	64		
KEGG_TYPE_II_DIABETES_MELLITUS	47	46		
KEGG_TYPE_I_DIABETES_MELLITUS	43	41		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	25		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	40		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	42		
KEGG_ALZHEIMERS_DISEASE	166	153		
KEGG_PARKINSONS_DISEASE	130	108		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	53		
KEGG_HUNTINGTONS_DISEASE	182	168		
KEGG_PRION_DISEASES	35	33		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	52		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	66		
KEGG_LEISHMANIA_INFECTION	72	67		
KEGG_PATHWAYS_IN_CANCER	325	316		
KEGG_COLORECTAL_CANCER	62	61		
KEGG_RENAL_CELL_CARCINOMA	70	67		
KEGG_PANCREATIC_CANCER	70	66		
KEGG_ENDOMETRIAL_CANCER	52	50		
KEGG_GLIOMA	65	64		
KEGG_PROSTATE_CANCER	89	86		
KEGG_THYROID_CANCER	29	29		
KEGG_BASAL_CELL_CARCINOMA	55	55		
KEGG_MELANOMA	71	68		
KEGG_BLADDER_CANCER	42	40		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	71		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	54		
KEGG_SMALL_CELL_LUNG_CANCER	84	81		
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	53		
KEGG_ASTHMA	30	27		
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	49		
KEGG_ALLOGRAFT_REJECTION	37	34		
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	37		
KEGG_VIRAL_MYOCARDITIS	70	66		
