NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MATURATION_OF_5_8S_RRNA	35		Rejected!	
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	37		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24		Rejected!	
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA	28		Rejected!	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15		Rejected!	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	10		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	8		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	36		Rejected!	
GOBP_MEIOTIC_MISMATCH_REPAIR	5		Rejected!	
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	18		Rejected!	
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DAMAGE_RECOGNITION	23		Rejected!	
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	22		Rejected!	
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	15		Rejected!	
GOBP_RECOMBINATIONAL_REPAIR	140	134		
GOBP_NON_RECOMBINATIONAL_REPAIR	106	103		
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	12		Rejected!	
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	25		Rejected!	
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	53	52		
GOBP_DNA_STRAND_RENATURATION	8		Rejected!	
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	31		Rejected!	
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	8		Rejected!	
GOBP_SISTER_CHROMATID_SEGREGATION	199	185		
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	8		Rejected!	
GOBP_CELL_MORPHOGENESIS	1004		Rejected!	
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	723		Rejected!	
GOBP_CYTOKINESIS	171	162		
GOBP_ASSEMBLY_OF_ACTOMYOSIN_APPARATUS_INVOLVED_IN_CYTOKINESIS	5		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	208	199		
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	6		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	47		Rejected!	
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	17		Rejected!	
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23		Rejected!	
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	119	113		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	485		Rejected!	
GOBP_OSSIFICATION	399		Rejected!	
GOBP_NEUROTRANSMITTER_UPTAKE	38		Rejected!	
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	211	200		
GOBP_ACTION_POTENTIAL	135	125		
GOBP_RNA_METHYLATION	84	78		
GOBP_PSEUDOURIDINE_SYNTHESIS	18		Rejected!	
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	127	119		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	53	50		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	6		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	7		Rejected!	
GOBP_LUTEINIZATION	10		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	24		Rejected!	
GOBP_FATTY_ACID_ALPHA_OXIDATION	9		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	25		Rejected!	
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	34		Rejected!	
GOBP_VASCULOGENESIS	78	75		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	25		Rejected!	
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	15		Rejected!	
GOBP_MICROTUBULE_BUNDLE_FORMATION	107	101		
GOBP_OSTEOBLAST_DIFFERENTIATION	222		Rejected!	
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	320		Rejected!	
GOBP_METANEPHROS_DEVELOPMENT	82	80		
GOBP_TEMPERATURE_HOMEOSTASIS	171	168		
GOBP_FEVER_GENERATION	10		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	473		Rejected!	
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	25		Rejected!	
GOBP_ACROSOME_ASSEMBLY	16		Rejected!	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	120	112		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	145	137		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	17		Rejected!	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	335		Rejected!	
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	23		Rejected!	
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	115	112		
GOBP_ENDODERM_FORMATION	53	53		
GOBP_CELL_FATE_SPECIFICATION	88	85		
GOBP_CELL_FATE_DETERMINATION	41		Rejected!	
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	16		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	13		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	7		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	11		Rejected!	
GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	16		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	144	138		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	43		Rejected!	
GOBP_NEURAL_CREST_CELL_MIGRATION	55	54		
GOBP_SOMITOGENESIS	65	63		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	21		Rejected!	
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	186	180		
GOBP_NEURON_MIGRATION	145	137		
GOBP_MEMBRANE_RAFT_ASSEMBLY	11		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	13		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	13		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29		Rejected!	
GOBP_MICROGLIAL_CELL_ACTIVATION	47		Rejected!	
GOBP_CELL_ACTIVATION	1461		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	79	74		
GOBP_PLASMA_MEMBRANE_REPAIR	12		Rejected!	
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	18		Rejected!	
GOBP_NEUTROPHIL_HOMEOSTASIS	14		Rejected!	
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	7		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	28		Rejected!	
GOBP_B_CELL_APOPTOTIC_PROCESS	25		Rejected!	
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	11		Rejected!	
GOBP_CYTOKINE_PRODUCTION	823		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	367		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	437		Rejected!	
GOBP_SEROTONIN_SECRETION	10		Rejected!	
GOBP_HISTAMINE_SECRETION	11		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	91	88		
GOBP_BLASTOCYST_DEVELOPMENT	92	90		
GOBP_BLASTOCYST_FORMATION	35		Rejected!	
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	16		Rejected!	
GOBP_BLASTOCYST_GROWTH	19		Rejected!	
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	13		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	55	53		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	153	143		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	7		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	96	95		
GOBP_NEURAL_FOLD_FORMATION	7		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	30		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	15		Rejected!	
GOBP_NK_T_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	7		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RECEPTOR_RECYCLING	32		Rejected!	
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	66	62		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	13		Rejected!	
GOBP_SELENIUM_COMPOUND_METABOLIC_PROCESS	5		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	135	129		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	79	76		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	28		Rejected!	
GOBP_TISSUE_HOMEOSTASIS	260		Rejected!	
GOBP_RETINA_HOMEOSTASIS	80	76		
GOBP_CELL_KILLING	177	173		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	111	107		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	79	77		
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	22		Rejected!	
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	46		Rejected!	
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	38		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	9		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	29		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	23		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	14		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1211		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	824		Rejected!	
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	191	140		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	75		Rejected!	
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	108	87		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	37		Rejected!	
GOBP_VASCULATURE_DEVELOPMENT	786		Rejected!	
GOBP_LYMPH_VESSEL_DEVELOPMENT	26		Rejected!	
GOBP_LYMPHANGIOGENESIS	17		Rejected!	
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	125	116		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	41		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	54	53		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	17		Rejected!	
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	24		Rejected!	
GOBP_STARTLE_RESPONSE	23		Rejected!	
GOBP_SUCKLING_BEHAVIOR	11		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	45		Rejected!	
GOBP_RESPONSE_TO_AMPHETAMINE	30		Rejected!	
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	9		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	36		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	18		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	5		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	12		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	533		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	58	56		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	6		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	23		Rejected!	
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	5		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	10		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26		Rejected!	
GOBP_REGULATION_OF_HEART_RATE	97	90		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	87	83		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	16		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	6		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	184	121		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	93	53		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	54		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	21		Rejected!	
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	21		Rejected!	
GOBP_CHONDROCYTE_DIFFERENTIATION	102	101		
GOBP_CHONDROCYTE_DEVELOPMENT	28		Rejected!	
GOBP_EPITHELIAL_CELL_DEVELOPMENT	207	195		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	82	79		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	39		Rejected!	
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	48		Rejected!	
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	25		Rejected!	
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	7		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	15		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	17		Rejected!	
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	25		Rejected!	
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	77	75		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	19		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	53		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	14		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	25		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	16		Rejected!	
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	21		Rejected!	
GOBP_STORE_OPERATED_CALCIUM_ENTRY	19		Rejected!	
GOBP_AGGRESSIVE_BEHAVIOR	7		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GOBP_REGULATION_OF_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	5		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	8		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	102	91		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	11		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	34		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	75	70		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	146	138		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	208	189		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	157	140		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	27		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	67	65		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31		Rejected!	
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	6		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	346		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	161	158		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	7		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	693		Rejected!	
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	41		Rejected!	
GOBP_IMMUNE_EFFECTOR_PROCESS	1296		Rejected!	
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	563		Rejected!	
GOBP_LYMPHOCYTE_HOMEOSTASIS	57	52		
GOBP_MYELOID_CELL_HOMEOSTASIS	145	138		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	722		Rejected!	
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	659		Rejected!	
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	47		Rejected!	
GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	18		Rejected!	
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	189	182		
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	111	108		
GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	10		Rejected!	
GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	73	70		
GOBP_T_HELPER_CELL_LINEAGE_COMMITMENT	17		Rejected!	
GOBP_T_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	79	75		
GOBP_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	26		Rejected!	
GOBP_GERMINAL_CENTER_B_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GOBP_PLASMA_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION	21		Rejected!	
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	31		Rejected!	
GOBP_B_CELL_LINEAGE_COMMITMENT	6		Rejected!	
