Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM886891,"BT-20","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886891/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886892,"BT-474","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886892/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886893,"BT-483","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886893/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886894,"BT-549","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886894/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886895,"BV-173","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886895/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886896,"BxPC-3","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886896/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886897,"C2BBe1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886897/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886898,"C32","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886898/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886899,"C3A","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886899/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886900,"CA46","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886900/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886901,"CADO-ES1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886901/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886902,"Caki-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886902/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886903,"Caki-2","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886903/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886904,"CAL-120","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886904/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886905,"CAL-12T","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886905/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886906,"CAL-148","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886906/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886907,"CAL 27","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886907/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886908,"CAL-29","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886908/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886909,"CAL-51","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886909/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886910,"CAL-54","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886910/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886911,"CAL-62","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886911/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886912,"CAL-78","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886912/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886913,"CAL-85-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886913/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886914,"Calu-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886914/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886915,"Calu-3","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886915/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886916,"Calu-6","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886916/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886917,"CAMA-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886917/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886918,"Caov-3","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886918/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886919,"Caov-4","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886919/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886920,"Capan-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886920/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886921,"Capan-2","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886921/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886922,"CAS-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886922/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886923,"CCF-STTG1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886923/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886924,"CCK-81","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886924/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886925,"CFPAC-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886925/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886926,"CGTH-W-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886926/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886927,"ChaGo-K-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886927/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886928,"CHL-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886928/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886929,"CHP-126","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886929/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886930,"CHP-212","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886930/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886931,"CI-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886931/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886932,"CJM","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886932/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886933,"CL-11","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886933/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886934,"CL-14","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886934/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886935,"CL-34","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886935/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886936,"CL-40","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886936/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886937,"CMK-11-5","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886937/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886938,"CMK","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886938/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886939,"CML-T1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886939/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886940,"COLO 205","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886940/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886941,"COLO-320","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886941/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886942,"COLO 668","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886942/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886943,"COLO-678","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886943/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886944,"COLO-679","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886944/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886945,"COLO-680N","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886945/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886946,"COLO-699","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886946/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886947,"COLO-704","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886947/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886948,"COLO 741","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886948/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886949,"COLO-783","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886949/suppl",,"Nicolas Stransky","Mar 20, 2012"
