symbol,ID,adj.P.Val,P.Value,t,B,logFC,ORF,desc
ZFP36L2,678_at,0.183,0.000252,-4.78332,0.5441,-1.5815444,678,"zinc finger protein 36, C3H type-like 2"
COL18A1,80781_at,0.185,0.0002645,4.758471,0.5044,2.3545167,80781,"collagen, type XVIII, alpha 1"
ACTR1A,10121_at,0.19,0.0002813,4.726962,0.4539,1.1378944,10121,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
MYL9,10398_at,0.204,0.000318,4.664133,0.3528,3.1942,10398,"myosin, light chain 9, regulatory"
PKIG,11142_at,0.204,0.0003235,4.655515,0.3389,2.9890111,11142,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma"
MID1,4281_at,0.205,0.0003494,4.616152,0.2752,1.9115222,4281,midline 1 (Opitz/BBB syndrome)
PPP4R1,9989_at,0.205,0.0003596,4.601581,0.2516,0.8575056,9989,"protein phosphatase 4, regulatory subunit 1"
TMTC2,160335_at,0.205,0.0003697,-4.587447,0.2286,-1.6263333,160335,transmembrane and tetratricopeptide repeat containing 2
SEC13,6396_at,0.205,0.0003946,4.554324,0.1748,0.6756111,6396,SEC13 homolog (S. cerevisiae)
DNAAF9,25943_at,0.205,0.0003963,4.552105,0.1711,1.9725056,25943,chromosome 20 open reading frame 194
ACSS1,84532_at,0.205,0.000397,-4.551258,0.1698,-1.7866556,84532,acyl-CoA synthetase short-chain family member 1
VIPR1,7433_at,0.205,0.000406,-4.539892,0.1512,-2.1454278,7433,vasoactive intestinal peptide receptor 1
HSDL1,83693_at,0.205,0.0004356,4.504123,0.0928,0.9064167,83693,hydroxysteroid dehydrogenase like 1
ZNRF2,223082_at,0.205,0.0004432,-4.495464,0.0786,-1.4276222,223082,zinc and ring finger 2
CLEC11A,6320_at,0.205,0.0004464,4.491822,0.0726,1.6580389,6320,"C-type lectin domain family 11, member A"
FRK,2444_at,0.205,0.0004662,-4.469828,0.0366,-1.8757444,2444,fyn-related kinase
SRRD,402055_at,0.205,0.0004699,4.465809,0.03,0.9879278,402055,SRR1 domain containing
SPAG5,10615_at,0.205,0.0004716,4.464057,0.0271,0.7138389,10615,sperm associated antigen 5
ANXA4,307_at,0.205,0.0004979,-4.436608,-0.018,-1.5278778,307,annexin A4
RRP36,88745_at,0.205,0.000517,4.417622,-0.0493,0.7601444,88745,ribosomal RNA processing 36 homolog (S. cerevisiae)
PINK1,65018_at,0.205,0.0005245,4.410345,-0.0613,1.08705,65018,PTEN induced putative kinase 1
NIPAL2,79815_at,0.205,0.0005453,-4.390733,-0.0937,-1.1479278,79815,NIPA-like domain containing 2
GJC1,10052_at,0.205,0.0005481,4.388203,-0.0979,2.4228944,10052,"gap junction protein, gamma 1, 45kDa"
TIAM1,7074_at,0.205,0.0005514,4.385199,-0.1028,2.0046278,7074,T-cell lymphoma invasion and metastasis 1
PFAS,5198_at,0.205,0.000569,4.369386,-0.129,1.0392222,5198,phosphoribosylformylglycinamidine synthase
NECAP2,55707_at,0.205,0.0005695,4.368881,-0.1298,0.71345,55707,NECAP endocytosis associated 2
MXRA7,439921_at,0.205,0.0005896,4.351432,-0.1587,1.66405,439921,matrix-remodelling associated 7
SLC2A6,11182_at,0.205,0.0005909,4.35036,-0.1605,1.3069444,11182,"solute carrier family 2 (facilitated glucose transporter), member 6"
TLCD5,219902_at,0.205,0.0005923,4.349139,-0.1625,1.4216056,219902,transmembrane protein 136
AKR7A3,22977_at,0.205,0.0006121,-4.332668,-0.1898,-1.5229722,22977,"aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)"
TSPAN5,10098_at,0.205,0.000619,4.326986,-0.1992,1.8869611,10098,tetraspanin 5
GSDME,1687_at,0.205,0.0006199,4.326261,-0.2004,3.1389,1687,"deafness, autosomal dominant 5"
SNN,8303_at,0.205,0.0006432,4.30776,-0.2312,1.0433667,8303,stannin
RAB31,11031_at,0.205,0.0006462,4.305433,-0.235,3.51995,11031,"RAB31, member RAS oncogene family"
STARD3,10948_at,0.205,0.0006507,4.301959,-0.2408,0.7779611,10948,StAR-related lipid transfer (START) domain containing 3
MSRB3,253827_at,0.216,0.000707,4.260416,-0.31,2.5033833,253827,methionine sulfoxide reductase B3
TMEM199,147007_at,0.216,0.0007079,4.259739,-0.3111,0.7455944,147007,transmembrane protein 199
JMJD1C-AS1,84989_at,0.217,0.0007222,4.249713,-0.3279,0.9647278,84989,uncharacterized LOC84989
WWTR1,25937_at,0.217,0.0007331,4.242214,-0.3404,2.1446556,25937,WW domain containing transcription regulator 1
BAIAP2-DT,440465_at,0.217,0.0007452,4.234036,-0.354,1.0294111,440465,uncharacterized LOC440465
FERMT2,10979_at,0.218,0.0007612,4.223406,-0.3718,3.9892944,10979,fermitin family member 2
RASSF2,9770_at,0.227,0.0008094,4.192765,-0.4231,1.3911,9770,Ras association (RalGDS/AF-6) domain family member 2
CHRNB1,1140_at,0.227,0.0008152,4.189188,-0.4291,1.6300389,1140,"cholinergic receptor, nicotinic, beta 1 (muscle)"
COPG2,26958_at,0.232,0.0008461,4.170668,-0.4602,1.0487222,26958,"coatomer protein complex, subunit gamma 2"
DEPTOR,64798_at,0.236,0.0008729,-4.155118,-0.4863,-3.6615722,64798,DEP domain containing MTOR-interacting protein
DNAH14,127602_at,0.236,0.000892,4.144321,-0.5044,1.1616222,127602,"dynein, axonemal, heavy chain 14"
MIOS,54468_at,0.236,0.0009079,-4.135489,-0.5193,-0.8827833,54468,"missing oocyte, meiosis regulator, homolog (Drosophila)"
TRIM15,89870_at,0.236,0.0009222,-4.127708,-0.5324,-1.0776667,89870,tripartite motif containing 15
ANTXR1,84168_at,0.236,0.0009361,4.120295,-0.5448,1.9979056,84168,anthrax toxin receptor 1
TYMS,7298_at,0.236,0.0009586,4.108482,-0.5647,1.4157222,7298,thymidylate synthetase
TBC1D8B,54885_at,0.236,0.0009652,-4.105057,-0.5705,-1.6771389,54885,"TBC1 domain family, member 8B (with GRAM domain)"
JARID2,3720_at,0.236,0.000976,4.099515,-0.5799,1.3095556,3720,"jumonji, AT rich interactive domain 2"
LRRC31,79782_at,0.236,0.0010165,-4.079288,-0.614,-3.0793778,79782,leucine rich repeat containing 31
KPNA6,23633_at,0.236,0.0010194,4.077885,-0.6164,0.5603556,23633,karyopherin alpha 6 (importin alpha 7)
DOCK1,1793_at,0.236,0.0010247,4.075287,-0.6207,1.3360333,1793,dedicator of cytokinesis 1
ZNF134,7693_at,0.236,0.0010277,4.073849,-0.6232,1.7446389,7693,zinc finger protein 134
AP2S1,1175_at,0.236,0.0010425,4.066734,-0.6352,0.6876667,1175,"adaptor-related protein complex 2, sigma 1 subunit"
FOXN2,3344_at,0.236,0.0010626,-4.057242,-0.6512,-0.5862556,3344,forkhead box N2
FLVCR1,28982_at,0.236,0.0010689,-4.054305,-0.6562,-0.7449722,28982,feline leukemia virus subgroup C cellular receptor 1
ISG20,3669_at,0.236,0.0010714,-4.053144,-0.6581,-1.8033778,3669,interferon stimulated exonuclease gene 20kDa
FAM89B,23625_at,0.236,0.0010744,4.051759,-0.6605,0.8534,23625,"family with sequence similarity 89, member B"
BCAS4,55653_at,0.24,0.001113,4.034268,-0.6901,1.0227056,55653,breast carcinoma amplified sequence 4
CAP2,10486_at,0.24,0.001116,4.032904,-0.6924,2.7000667,10486,"CAP, adenylate cyclase-associated protein, 2 (yeast)"
NT5C3A,51251_at,0.24,0.0011338,-4.025092,-0.7056,-1.2281722,51251,"5'-nucleotidase, cytosolic III"
FHL3,2275_at,0.24,0.0011421,4.021449,-0.7118,0.6705778,2275,four and a half LIM domains 3
MAEA,10296_at,0.241,0.0011588,4.014237,-0.724,0.5400556,10296,macrophage erythroblast attacher
SERPINH1,871_at,0.245,0.0011982,3.997659,-0.7521,1.5974556,871,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)"
SEC14L1,6397_at,0.245,0.0012245,3.986917,-0.7703,1.6581778,6397,SEC14-like 1 (S. cerevisiae)
SPIRE2,84501_at,0.245,0.0012301,-3.984639,-0.7742,-1.0354944,84501,spire homolog 2 (Drosophila)
LRATD2,157638_at,0.245,0.0012555,-3.974519,-0.7914,-2.0853556,157638,"family with sequence similarity 84, member B"
NLRP11,204801_at,0.245,0.0012564,3.974183,-0.7919,1.2735056,204801,"NLR family, pyrin domain containing 11"
ADA,100_at,0.245,0.0012643,3.97108,-0.7972,2.3782722,100,adenosine deaminase
CCND2,894_at,0.245,0.0012691,-3.969205,-0.8004,-3.1245722,894,cyclin D2
SLC23A2,9962_at,0.251,0.001319,3.950102,-0.8329,0.9560722,9962,"solute carrier family 23 (nucleobase transporters), member 2"
GEN1,348654_at,0.251,0.0013345,-3.944315,-0.8427,-0.7097056,348654,Gen endonuclease homolog 1 (Drosophila)
SNAP47,116841_at,0.251,0.0013387,3.942787,-0.8453,0.7284722,116841,"synaptosomal-associated protein, 47kDa"
BCL11A,53335_at,0.26,0.0014014,-3.920135,-0.8839,-2.3521333,53335,B-cell CLL/lymphoma 11A (zinc finger protein)
KMT2E,55904_at,0.261,0.0014525,-3.902446,-0.914,-0.7027167,55904,"myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)"
INTS4,92105_at,0.261,0.0014568,3.900967,-0.9165,0.6924389,92105,integrator complex subunit 4
POF1B,79983_at,0.261,0.0014676,-3.89731,-0.9227,-3.5302167,79983,"premature ovarian failure, 1B"
CHST11,50515_at,0.261,0.0014753,3.894719,-0.9272,2.0567944,50515,carbohydrate (chondroitin 4) sulfotransferase 11
PLEKHF1,79156_at,0.261,0.0015071,3.884189,-0.9451,1.2001611,79156,"pleckstrin homology domain containing, family F (with FYVE domain) member 1"
MYBL1,4603_at,0.261,0.0015086,3.883701,-0.9459,1.0695944,4603,v-myb myeloblastosis viral oncogene homolog (avian)-like 1
IFTAP,119710_at,0.261,0.0015174,3.880844,-0.9508,1.5053222,119710,chromosome 11 open reading frame 74
SPG11,80208_at,0.261,0.0015258,-3.878096,-0.9555,-0.6551389,80208,spastic paraplegia 11 (autosomal recessive)
VCAN,1462_at,0.261,0.001554,3.869075,-0.9709,3.0830556,1462,versican
NHSL1,57224_at,0.261,0.0015579,-3.867839,-0.973,-0.9901167,57224,NHS-like 1
ARSK,153642_at,0.261,0.0015584,3.867657,-0.9733,1.3321833,153642,"arylsulfatase family, member K"
PSMC5,5705_at,0.261,0.0015749,3.862464,-0.9822,0.7129444,5705,"proteasome (prosome, macropain) 26S subunit, ATPase, 5"
ABI1,10006_at,0.264,0.0016149,-3.85009,-1.0033,-0.5868389,10006,abl-interactor 1
HPGD,3248_at,0.264,0.0016157,-3.849856,-1.0037,-3.1868778,3248,hydroxyprostaglandin dehydrogenase 15-(NAD)
VPS26C,10311_at,0.264,0.0016291,3.845769,-1.0107,0.6355833,10311,Down syndrome critical region gene 3
ADORA2A,135_at,0.264,0.0016513,3.839085,-1.0221,0.6301444,135,adenosine A2a receptor
APOBEC3C,27350_at,0.264,0.0016718,3.832988,-1.0326,2.5248056,27350,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C"
ARFGEF3,57221_at,0.264,0.0016963,-3.825818,-1.0448,-1.9366222,57221,KIAA1244
HNF4G,3174_at,0.264,0.0016985,-3.825184,-1.0459,-2.2965167,3174,"hepatocyte nuclear factor 4, gamma"
FGD4,121512_at,0.264,0.0017072,-3.822662,-1.0502,-1.0646833,121512,"FYVE, RhoGEF and PH domain containing 4"
HOMER3,9454_at,0.264,0.0017249,3.817576,-1.0589,1.4062444,9454,homer homolog 3 (Drosophila)
HIBADH,11112_at,0.264,0.0017321,-3.815518,-1.0624,-0.9047944,11112,3-hydroxyisobutyrate dehydrogenase
HYAL2,8692_at,0.264,0.0017428,3.812496,-1.0676,0.7235,8692,hyaluronoglucosaminidase 2
KIF20A,10112_at,0.265,0.0017641,3.806494,-1.0779,0.6438833,10112,kinesin family member 20A
PRTFDC1,56952_at,0.266,0.001786,-3.800423,-1.0883,-3.3602833,56952,phosphoribosyl transferase domain containing 1
FADS1,3992_at,0.266,0.00182,3.791128,-1.1042,2.5344556,3992,fatty acid desaturase 1
GJB2,2706_at,0.266,0.001826,-3.789503,-1.107,-3.7185111,2706,"gap junction protein, beta 2, 26kDa"
PGBD1,84547_at,0.266,0.0018274,3.789135,-1.1076,1.2503778,84547,piggyBac transposable element derived 1
PRELID3B,51012_at,0.275,0.0019061,-3.768361,-1.1432,-1.1188667,51012,slowmo homolog 2 (Drosophila)
TMEM200B,399474_at,0.277,0.001936,3.760686,-1.1564,1.8900167,399474,transmembrane protein 200B
CMTM3,123920_at,0.277,0.0019444,3.758539,-1.16,1.9530667,123920,CKLF-like MARVEL transmembrane domain containing 3
TSPAN9,10867_at,0.277,0.0019627,3.753944,-1.1679,0.55345,10867,tetraspanin 9
NXF1,10482_at,0.278,0.0019887,3.747467,-1.179,0.6769722,10482,nuclear RNA export factor 1
NMT1,4836_at,0.278,0.0019943,3.746077,-1.1814,0.7082389,4836,N-myristoyltransferase 1
COPRS,55352_at,0.285,0.00206,3.730126,-1.2088,0.9360222,55352,chromosome 17 open reading frame 79
PLEKHO1,51177_at,0.285,0.0020763,3.726227,-1.2155,1.5624278,51177,"pleckstrin homology domain containing, family O member 1"
KLHDC8B,200942_at,0.292,0.0021459,3.710016,-1.2433,1.4314944,200942,kelch domain containing 8B
AKAP12,9590_at,0.297,0.0021993,3.697931,-1.2641,3.5321,9590,A kinase (PRKA) anchor protein 12
VPS18,57617_at,0.299,0.0022317,3.690723,-1.2765,0.6132833,57617,vacuolar protein sorting 18 homolog (S. cerevisiae)
SLC1A4,6509_at,0.299,0.0022603,-3.684463,-1.2872,-1.5947833,6509,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"
TC2N,123036_at,0.299,0.0022676,-3.68287,-1.29,-2.75575,123036,"tandem C2 domains, nuclear"
CYBC1,79415_at,0.299,0.0022786,3.680491,-1.294,0.7749444,79415,chromosome 17 open reading frame 62
MRPS6,64968_at,0.299,0.0023148,3.672741,-1.3074,0.8516778,64968,mitochondrial ribosomal protein S6
C10orf88,80007_at,0.299,0.0023264,3.670282,-1.3116,0.8335833,80007,chromosome 10 open reading frame 88
ZNF697,90874_at,0.299,0.0023395,3.667521,-1.3163,1.0401278,90874,zinc finger protein 697
SH3YL1,26751_at,0.299,0.0023767,-3.659784,-1.3297,-2.8657167,26751,"SH3 domain containing, Ysc84-like 1 (S. cerevisiae)"
DNAJA1,3301_at,0.299,0.0023881,3.657421,-1.3337,0.5812778,3301,"DnaJ (Hsp40) homolog, subfamily A, member 1"
RUNX2,860_at,0.299,0.0023928,-3.656457,-1.3354,-0.4871,860,runt-related transcription factor 2
ZNF277,11179_at,0.299,0.0024098,-3.652973,-1.3414,-1.0376333,11179,zinc finger protein 277
SARS2,54938_at,0.299,0.0024171,3.651481,-1.3439,0.7959333,54938,"seryl-tRNA synthetase 2, mitochondrial"
MCTP2,55784_at,0.299,0.0024443,-3.645995,-1.3534,-1.1139889,55784,"multiple C2 domains, transmembrane 2"
ZC3H8,84524_at,0.299,0.0024769,-3.639484,-1.3646,-1.1359667,84524,zinc finger CCCH-type containing 8
CTDNEP1,23399_at,0.299,0.0025003,3.634848,-1.3726,0.7622444,23399,CTD nuclear envelope phosphatase 1
ATRN,8455_at,0.299,0.0025011,3.634699,-1.3728,1.27865,8455,attractin
LURAP1L,286343_at,0.299,0.002502,-3.634529,-1.3731,-2.4460278,286343,chromosome 9 open reading frame 150
CYBB,1536_at,0.299,0.0025028,-3.634363,-1.3734,-0.39485,1536,"cytochrome b-245, beta polypeptide"
AGR2,10551_at,0.299,0.0025465,-3.625865,-1.388,-6.5854111,10551,anterior gradient 2 homolog (Xenopus laevis)
AFTPH,54812_at,0.299,0.0025556,-3.624111,-1.3911,-0.8355222,54812,aftiphilin
USP53,54532_at,0.299,0.0025662,-3.622074,-1.3946,-1.2994667,54532,ubiquitin specific peptidase 53
NFYC,4802_at,0.299,0.0025711,3.621126,-1.3962,0.6614389,4802,"nuclear transcription factor Y, gamma"
GTF3C1,2975_at,0.299,0.0025732,3.620735,-1.3969,0.8493278,2975,"general transcription factor IIIC, polypeptide 1, alpha 220kDa"
VPS35L,57020_at,0.299,0.0025917,3.617213,-1.4029,2.3488278,57020,chromosome 16 open reading frame 62
ARHGEF10L,55160_at,0.3,0.0026376,-3.608595,-1.4178,-1.1197222,55160,Rho guanine nucleotide exchange factor (GEF) 10-like
SLC35A3,23443_at,0.3,0.002676,-3.601483,-1.43,-1.2853889,23443,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"
SYNGR1,9145_at,0.3,0.0026806,3.600648,-1.4315,0.7097222,9145,synaptogyrin 1
PTPRM,5797_at,0.3,0.0026816,3.600453,-1.4318,1.5582389,5797,"protein tyrosine phosphatase, receptor type, M"
PJA1,64219_at,0.3,0.0027209,3.593308,-1.4441,1.2839556,64219,praja ring finger 1
ERAL1,26284_at,0.3,0.002726,3.592397,-1.4457,0.6709722,26284,Era G-protein-like 1 (E. coli)
MAP4K4,9448_at,0.3,0.0027492,3.588225,-1.4529,1.2667611,9448,mitogen-activated protein kinase kinase kinase kinase 4
MYO1A,4640_at,0.3,0.0027513,-3.587853,-1.4535,-2.5429222,4640,myosin IA
FRMD6,122786_at,0.3,0.0027541,3.587359,-1.4544,3.1877222,122786,FERM domain containing 6
C15orf48,84419_at,0.3,0.0027961,-3.579926,-1.4672,-4.1256722,84419,chromosome 15 open reading frame 48
TENT5B,115572_at,0.3,0.0027967,3.579811,-1.4674,1.4248944,115572,"family with sequence similarity 46, member B"
UROD,7389_at,0.3,0.0028222,3.57536,-1.4751,1.2020167,7389,uroporphyrinogen decarboxylase
GGCT,79017_at,0.3,0.0028658,-3.567835,-1.488,-0.7235556,79017,gamma-glutamylcyclotransferase
VASH2,79805_at,0.3,0.0028666,3.567704,-1.4882,1.7058611,79805,vasohibin 2
CAMKMT,79823_at,0.3,0.002883,-3.564887,-1.4931,-0.9663111,79823,calmodulin-lysine N-methyltransferase
FBXO2,26232_at,0.3,0.0028967,3.562569,-1.4971,1.2973,26232,F-box protein 2
CEBPD,1052_at,0.3,0.0029055,-3.561076,-1.4997,-1.1487222,1052,"CCAAT/enhancer binding protein (C/EBP), delta"
PDIK1L,149420_at,0.3,0.002916,-3.559311,-1.5027,-1.1197944,149420,PDLIM1 interacting kinase 1 like
FAM118B,79607_at,0.3,0.0029239,3.557975,-1.505,0.5230333,79607,"family with sequence similarity 118, member B"
GATB,5188_at,0.3,0.0029307,3.556833,-1.507,0.8394722,5188,PET112 homolog (yeast)
ZFP36,7538_at,0.3,0.0029458,-3.554312,-1.5113,-1.1603667,7538,"zinc finger protein 36, C3H type, homolog (mouse)"
UBL7,84993_at,0.3,0.0029511,3.553426,-1.5129,0.7657,84993,ubiquitin-like 7 (bone marrow stromal cell-derived)
MFSD6,54842_at,0.3,0.0029853,-3.54778,-1.5226,-1.9703833,54842,major facilitator superfamily domain containing 6
TRMT13,54482_at,0.3,0.0029943,-3.546293,-1.5252,-0.7695722,54482,coiled-coil domain containing 76
LGALS1,3956_at,0.3,0.003003,3.544877,-1.5276,4.2412056,3956,"lectin, galactoside-binding, soluble, 1"
CDKN1B,1027_at,0.3,0.0030148,-3.542939,-1.531,-1.1363111,1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
TTC7B,145567_at,0.3,0.003026,3.541123,-1.5341,2.7220556,145567,tetratricopeptide repeat domain 7B
COL17A1,1308_at,0.3,0.0030546,-3.536507,-1.5421,-1.8946944,1308,"collagen, type XVII, alpha 1"
CYP51A1,1595_at,0.3,0.0030583,-3.53591,-1.5431,-1.1714167,1595,"cytochrome P450, family 51, subfamily A, polypeptide 1"
RFLNB,359845_at,0.3,0.0031127,3.527265,-1.558,3.6944722,359845,"family with sequence similarity 101, member B"
FAM135A,57579_at,0.3,0.0031611,-3.519691,-1.5711,-1.6744278,57579,"family with sequence similarity 135, member A"
C1orf226,400793_at,0.3,0.003162,-3.519543,-1.5713,-1.4867778,400793,chromosome 1 open reading frame 226
SGK2,10110_at,0.3,0.0031629,-3.519412,-1.5715,-2.2728333,10110,serum/glucocorticoid regulated kinase 2
GNG5,2787_at,0.3,0.003167,3.518773,-1.5727,0.5985,2787,"guanine nucleotide binding protein (G protein), gamma 5"
MAP4K2,5871_at,0.3,0.0032046,3.512981,-1.5826,0.9338111,5871,mitogen-activated protein kinase kinase kinase kinase 2
CHMP2B,25978_at,0.3,0.0032097,-3.512189,-1.584,-0.8518667,25978,charged multivesicular body protein 2B
SLC17A4,10050_at,0.3,0.0032136,-3.511605,-1.585,-0.7260556,10050,"solute carrier family 17 (sodium phosphate), member 4"
ALDH1A1,216_at,0.3,0.003234,-3.508501,-1.5904,-5.0748889,216,"aldehyde dehydrogenase 1 family, member A1"
ELF3,1999_at,0.3,0.0032369,-3.50805,-1.5912,-2.3101889,1999,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"
FTSJ3,117246_at,0.3,0.003241,3.507431,-1.5922,0.8314944,117246,FtsJ homolog 3 (E. coli)
C21orf91,54149_at,0.3,0.0032597,3.504614,-1.5971,0.7189556,54149,chromosome 21 open reading frame 91
DYNC2H1,79659_at,0.3,0.0032869,3.500525,-1.6041,0.8675833,79659,"dynein, cytoplasmic 2, heavy chain 1"
TPM2,7169_at,0.3,0.0032887,3.500255,-1.6046,2.2680778,7169,tropomyosin 2 (beta)
PIK3CD,5293_at,0.3,0.0032942,3.499448,-1.606,1.0365056,5293,"phosphoinositide-3-kinase, catalytic, delta polypeptide"
LBHD1,79081_at,0.3,0.0033084,3.497329,-1.6097,0.9159222,79081,chromosome 11 open reading frame 48
WRAP53,55135_at,0.3,0.0033251,3.494856,-1.6139,0.8438889,55135,"WD repeat containing, antisense to TP53"
DUS4L,11062_at,0.303,0.0033854,-3.486035,-1.6292,-0.942,11062,dihydrouridine synthase 4-like (S. cerevisiae)
DPCD,25911_at,0.303,0.0033946,3.484706,-1.6315,0.75285,25911,deleted in primary ciliary dyskinesia homolog (mouse)
ERAP2,64167_at,0.306,0.0034387,-3.478374,-1.6424,-1.9318778,64167,endoplasmic reticulum aminopeptidase 2
MCM5,4174_at,0.306,0.0034606,3.475255,-1.6478,0.9577333,4174,minichromosome maintenance complex component 5
TMEM182,130827_at,0.306,0.0035034,-3.46923,-1.6582,-0.8288222,130827,transmembrane protein 182
ZBTB17,7709_at,0.306,0.0035149,3.46761,-1.661,0.5707944,7709,zinc finger and BTB domain containing 17
SEPTIN6,23157_at,0.306,0.0035256,3.466127,-1.6635,1.4007,23157,septin 6
LRFN1,57622_at,0.306,0.0035445,3.463498,-1.6681,0.7154944,57622,leucine rich repeat and fibronectin type III domain containing 1
STK36,27148_at,0.306,0.003546,3.463295,-1.6684,0.7160944,27148,serine/threonine kinase 36
UFL1,23376_at,0.307,0.0035804,-3.458556,-1.6766,-0.8245722,23376,UFM1-specific ligase 1
STMN1,3925_at,0.307,0.0036317,3.45158,-1.6887,0.7606722,3925,stathmin 1
GATAD1,57798_at,0.307,0.003664,-3.447226,-1.6962,-0.7314611,57798,GATA zinc finger domain containing 1
BBS9,27241_at,0.307,0.0036689,3.446575,-1.6973,0.7016556,27241,Bardet-Biedl syndrome 9
PARD6G,84552_at,0.307,0.0036968,3.44285,-1.7037,0.7999056,84552,par-6 partitioning defective 6 homolog gamma (C. elegans)
TNIP2,79155_at,0.307,0.0037212,3.439624,-1.7093,0.5663667,79155,TNFAIP3 interacting protein 2
GALNT3,2591_at,0.307,0.0037284,-3.438681,-1.7109,-3.7722611,2591,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
YIPF4,84272_at,0.307,0.0037532,-3.435427,-1.7165,-0.9274444,84272,"Yip1 domain family, member 4"
ADD1,118_at,0.307,0.0037668,3.433654,-1.7196,0.6201278,118,adducin 1 (alpha)
ZNF823,55552_at,0.307,0.0037722,-3.432949,-1.7208,-0.9402444,55552,zinc finger protein 823
PLEKHF2,79666_at,0.307,0.0037777,-3.432229,-1.7221,-0.6721722,79666,"pleckstrin homology domain containing, family F (with FYVE domain) member 2"
OTU domain containing 7A pseudogene,100288637_at,0.307,0.0037904,-3.430591,-1.7249,-0.6721778,100288637,OTU domain containing 7A pseudogene
STRADA,92335_at,0.307,0.0038031,3.428947,-1.7277,0.8272222,92335,STE20-related kinase adaptor alpha
GNB1,2782_at,0.307,0.0038177,3.427063,-1.731,0.6652778,2782,"guanine nucleotide binding protein (G protein), beta polypeptide 1"
KRT10,3858_at,0.307,0.0038372,3.424568,-1.7353,0.5867778,3858,keratin 10
TMEM30B,161291_at,0.307,0.0038594,-3.42174,-1.7402,-1.5775833,161291,transmembrane protein 30B
