	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
26	ANTXR2	1517.94566801839	-0.186977829028048	0.043452372340167	1.10451442985649e-06	0.00334511039803251
27	ARHGAP24	3957.86348421323	-0.213082779357887	0.0519483983347942	2.37553940704797e-06	0.00334511039803251
28	PDLIM5	2677.94104467329	-0.156453109177592	0.0469530455058093	6.18444659252312e-05	0.00748511301651314
29	PPP3CA	3355.2240717541	-0.199186424428466	0.0536866314340565	1.1445810768578e-05	0.0036095389529917
30	KIAA1109	1215.17244909646	-0.185015646214431	0.058155943545605	8.4159084679459e-05	0.00807072705404524
31	SMARCA5	367.157427872878	-0.211014314423414	0.0677117208133833	8.85777854378043e-05	0.00832572947732428
32	FBXW7	2020.58643262334	-0.158916740378929	0.0470615321005469	4.86560726417154e-05	0.00685684739815817
33	SREK1	543.709255776712	-0.205654432223309	0.0621097877613972	5.03993686521597e-05	0.00685684739815817
34	MRPS27	940.552317872952	-0.108217053635126	0.0316035068331934	7.63401205711185e-05	0.00799805836613437
35	COL4A3BP	1329.41435462186	-0.137000628572537	0.0383364286180776	3.1650497516889e-05	0.00521627135671961
36	PPIP5K2	495.91387291404	-0.172937249202321	0.0541731038534703	8.9211921845845e-05	0.00832572947732428
37	PJA2	801.577790296566	-0.176766504853027	0.0499268428615756	2.51998822936603e-05	0.00476093385967543
38	CLINT1	1126.34667482092	-0.153189550246916	0.048962387356488	0.00012503520775334	0.00988288489038137
39	RANBP9	1306.47119300098	-0.187873917667893	0.0536016813319188	2.7565802190896e-05	0.00508392151834953
40	DEK	525.321878795403	-0.138678363811863	0.0438904411962328	0.000127457046360608	0.00992727303781774
41	PHIP	1053.31340973243	-0.245169091949334	0.0622526660022147	4.27728436895201e-06	0.0036095389529917
42	STX7	874.742348085675	-0.147407725293329	0.0445621659003238	7.27228418193528e-05	0.00799805836613437
43	UTRN	6657.29238822669	-0.120247586292268	0.036946254569949	0.000108453443600036	0.00900787009083031
44	SCAF8	1392.81643973063	-0.139982175982316	0.0383234704329035	2.27154091048309e-05	0.00475550159259514
45	ZNRF2	1054.95406523232	-0.202286973825048	0.0550857543329926	1.41008671486946e-05	0.00366298868265614
46	SEPT7	1181.75560370315	-0.176950748960381	0.0550029218718592	8.43956740740594e-05	0.00807072705404524
47	MTPN	646.698148440722	-0.175285237416487	0.0560721927076885	0.00010787156125899	0.00900787009083031
48	TNKS	2254.06928483541	-0.157415143189763	0.0415249630649981	1.14039472682233e-05	0.0036095389529917
49	PCM1	986.92069500994	-0.14169110162369	0.0429569595920153	7.92479081578059e-05	0.00807072705404524
50	PPP2R2A	1277.21810282181	-0.15953830446011	0.0502886410771981	0.000103701592736206	0.00900787009083031
51	HMBOX1	1953.1547100133	-0.13833151695413	0.0384678088072373	3.02999178084931e-05	0.00518202886390386
52	SDCBP	324.580436037597	-0.264260813203361	0.0631573059491697	1.47212455903418e-06	0.00334511039803251
53	NSMAF	716.083824518205	-0.128497806405365	0.038209851317868	6.84329473197754e-05	0.00788115572951941
54	ARFGEF1	1688.67324855716	-0.158266289027409	0.0409494164908426	8.40218183233978e-06	0.0036095389529917
55	PHF20L1	739.427703632443	-0.173190183598297	0.0512120401516325	4.62743868685341e-05	0.00685684739815817
56	PSIP1	577.653369910189	-0.157253212927977	0.0490921396822243	9.28349610487118e-05	0.00845999539156849
57	ZCCHC7	2318.12884032546	-0.131516248346936	0.040211850769548	0.000105091060309569	0.00900787009083031
58	PTAR1	359.98946571108	-0.217238680558942	0.0599078501272807	1.52135059184484e-05	0.00366298868265614
59	CARNMT1	415.486122697966	-0.168233602530586	0.0432890445299034	7.23300780247442e-06	0.0036095389529917
60	PTBP3	1761.01352354282	-0.141212340858247	0.0425968525031495	7.74405341415024e-05	0.00799805836613437
61	PBX3	2291.79881138261	-0.16336909407041	0.0402614858618016	3.96955243524411e-06	0.0036095389529917
62	WAC	1607.14672295697	-0.162284066363346	0.0473117419286018	3.9521599739023e-05	0.00625769882034322
63	PPP3CB	507.426170629023	-0.12879541058182	0.0338111109721961	1.3963747661478e-05	0.00366298868265614
64	EXOC6	1718.77984036229	-0.122208270670731	0.0305879533135714	7.00390601648184e-06	0.0036095389529917
65	LCOR	2478.92881454932	-0.136416041476503	0.0355874416719602	1.17590287919705e-05	0.0036095389529917
66	R3HCC1L	856.853470599404	-0.113495666364398	0.0336261589978412	8.43731402690932e-05	0.00807072705404524
67	SLK	673.153381862467	-0.202570207866967	0.0669125421675074	0.000129506595107886	0.00993225827431369
68	PDZD8	1380.33940851002	-0.153403439220301	0.0464764913557587	7.55449146266295e-05	0.00799805836613437
69	RAB11FIP2	374.228409647934	-0.238306783029121	0.0638266477112202	9.7886856237912e-06	0.0036095389529917
70	FCHSD2	3643.98167533294	-0.126570082685847	0.0369017513723304	5.98931591096391e-05	0.00748511301651314
71	SLC6A12	357.458434652575	0.224383319376408	0.0607216351944669	1.21155148542369e-05	0.0036095389529917
72	ATF7IP	1715.22980397697	-0.173188434599348	0.0515369037858112	4.97035342528279e-05	0.00685684739815817
73	ETNK1	588.91803659852	-0.235477630279816	0.0639887771572952	1.21156742548133e-05	0.0036095389529917
74	SCAF11	749.457652211826	-0.19023617834911	0.0516307732809613	1.39929735325762e-05	0.00366298868265614
75	LEMD3	790.706180137702	-0.168018715916094	0.0507745127267779	6.15817215068162e-05	0.00748511301651314
76	CPSF6	448.127868979757	-0.2141339236808	0.0525967963463734	2.71081382257949e-06	0.00334511039803251
77	RAB21	499.857265444197	-0.143485600062313	0.0446940504871468	0.000106329795492811	0.00900787009083031
78	OSBPL8	1893.8242066609	-0.162964570307832	0.0388837950832319	2.15170394989112e-06	0.00334511039803251
79	PPP1R12A	2027.71862911039	-0.196975516675917	0.0485080001131172	3.02295026932967e-06	0.00334511039803251
80	CDK17	1788.60883528996	-0.160323778732838	0.0511509433054352	0.000115919672960601	0.00925684316240013
81	KIAA1033	543.703953650158	-0.167778689510097	0.0528713338315917	9.78772726478865e-05	0.00876431813548382
82	MED13L	5011.58234213715	-0.137971924809617	0.0430751507718463	0.000112678823369458	0.00909177256062312
83	RSRC2	329.799615161628	-0.13936065736929	0.0433063846053733	0.000106992534009898	0.00900787009083031
84	PAN3	1657.62923696521	-0.155193751932524	0.0476560666188478	8.28590062649241e-05	0.00807072705404524
85	PDS5B	1683.0999117906	-0.136357597531647	0.0431825454930253	0.00012815999274229	0.00992727303781774
86	ELF1	2110.32368407985	-0.126734964734284	0.0381892028895262	8.27080576256595e-05	0.00807072705404524
87	FBXL3	367.20083187469	-0.177973104777524	0.0525217099952197	4.5350866089151e-05	0.00685684739815817
88	MYCBP2	2436.54040538761	-0.142471867392322	0.0374718283876856	1.18048956135266e-05	0.0036095389529917
89	RBM26	839.609353406416	-0.187569387484782	0.0500666951732623	1.09671489197678e-05	0.0036095389529917
90	KTN1	1227.64785887479	-0.139344676546392	0.038839882189854	2.88553931376093e-05	0.00511736242041351
91	PPM1A	623.767788699785	-0.173302767285803	0.0477790903337219	1.88937226551223e-05	0.00418145073390221
92	MGA	1636.52101556336	-0.105709332074715	0.027425321918482	1.56052964791702e-05	0.00366298868265614
93	GABPB1	880.091941181576	-0.115121498561698	0.0346704252689359	9.84373454411429e-05	0.00876431813548382
94	RFX7	1253.12832125793	-0.139093171500914	0.0396043058131817	4.03930985046684e-05	0.00625769882034322
95	TCF12	4775.89576058191	-0.1337476314067	0.0374991674355669	3.07737319570846e-05	0.00518202886390386
96	PDPR	482.86874532926	0.4105751734784	0.127776227069496	5.27893101306012e-05	0.00693061010629893
97	NECAB2	479.612846725279	0.20827568245636	0.0615143629778576	3.98289301194641e-05	0.00625769882034322
98	NSRP1	842.555482075182	-0.12389050101235	0.0336815499191469	2.43684304875558e-05	0.00476093385967543
99	PPP4R1	725.843590365001	-0.136421691885275	0.0375616491185009	2.51246483614775e-05	0.00476093385967543
100	URI1	963.18536064008	-0.161342112702525	0.0418970391650463	8.12044760920845e-06	0.0036095389529917
101	APP	4476.127814778	-0.123626071256287	0.0365871370704059	7.11513029726567e-05	0.00798750714240868
